[00:00:00] OpenAI很多这个model release（模型发布）
[00:00:01] 都有我的名字
[00:25:24] 这个是真的炼丹
[00:25:25] 这个比CV（计算机视觉）来说
[00:25:29] 他的这个调参难度可能要难上10倍100倍
[00:25:32] 然后都是玄学
[00:25:34] 你必须要用一些非常heuristic（启发式）的方法
[00:25:37] 去避免一些corner case（边角案例）
[00:25:40] 所以你当时就意识到那段时间的RL（强化学习）研究
[00:25:43] 全靠heuristic（启发）和调参
[00:25:45] 是的是的
[00:25:45] 就是改算法
[00:25:47] 其实没有那么本质
[00:25:49] 然后
[00:25:50] 因为
[00:25:51] 当时的那个任务
[00:25:53] 过于单一了然后
[00:25:59] 大部分情况下都是不能work（成功）的
[00:26:02] 当时的任务
[00:26:03] 第一个当然是VizDoom
[00:26:04] 那后面是不是就什么
[00:26:05] 像Atari, deepmind control suite, MuJoCo
[00:26:09] 我觉得MuJoCo跟Atari要比VizDoom还要简单
[00:26:15] 对VizDoom算难的了
[00:26:17] 但是
[00:26:18] 在这种case上面
[00:26:19] 就对于人类而言
[00:26:21] 它是一个简单的task（任务）
[00:26:23] 但是对于RL而言
[00:26:24] 它是一个非常非常难的task（任务）
[00:26:27] 因为它需要大量的知识
[00:26:28] 需要
[00:26:29] 就比如说这个什么是障碍物
[00:26:32] 这个对于人来说
[00:26:33] 这个不需要反应的
[00:26:34] 但是对于RL来说
[00:26:36] 就是
[00:26:37] 或者对于AI来说
[00:26:38] 这个是完全两个不同的难度了
[00:26:41] 对
[00:26:42] 对所以你在当时就有很清晰的认知
[00:26:47] 认识到了环境太单一
[00:26:49] 算法不是瓶颈
[00:26:52] 这个是
[00:26:53] 你做中你就会发现就太多挑战
[00:26:57] 对所以说我不是很享受这个科研的过程
[00:27:01] 然后我会
[00:27:02] 就是我有意识地把我的重心放到了
[00:27:05] 如何帮助这一类的科研更顺利进展的
[00:27:11] 过程上
[00:27:13] 所以我会
[00:27:15] 就是在大四的时候
[00:27:16] 我会想着这个
[00:27:17] 造一套这个RL（强化学习）的infra（基础设施）
[00:27:20] 或者说RL的小library（库）
[00:27:23] 能够更方便的
[00:27:24] 让这些想在这个领域卷的人去卷
[00:27:30] 这样的话就是
[00:27:31] 我觉得我非常擅长这个事
[00:27:33] 我非常擅长这个
[00:27:35] 类似软件工程的这个方面的东西
[00:27:38] 然后可以重构代码
[00:27:39] 让代码更好用
[00:27:41] 然后用户体验做好
[00:27:43] 但是
[00:27:45] 至于这个东西怎么调
[00:27:47] 我非常有这种生理上的反应
[00:27:50] 你不是不擅长
[00:27:51] 你就是不喜欢
[00:27:52] 排斥做这个事
[00:27:54] 是的
[00:27:55] 这也就是你大四做天授
[00:27:56] 天授我们等会着重聊
[00:27:57] 是的所以你大二开始搞科研
[00:28:00] 搞了VizDoom
[00:28:01] 然后到了大三
[00:28:02] 是不是面临一个申请暑研
[00:28:04] 是的
[00:28:05] 当时是什么样的节奏和状态
[00:28:07] 申请暑研为了
[00:28:09] 还是为了大四的申请
[00:28:11] 然后
[00:28:13] 发了一堆的套磁信
[00:28:15] 然后但是也没有什么结果
[00:28:17] 然后后面还是这个
[00:28:18] 我的导师帮我联系了
[00:28:22] 联系到了Yoshua Bengio
[00:28:24] 然后然后
[00:28:25] 我就过去了
[00:28:27] 对
[00:28:28] 其实我那段暑研
[00:28:29] 暑研做的也没有那么的成功
[00:28:32] 当时是在Mila对吧
[00:28:33] 对吧
[00:28:33] 对是在Mila
[00:28:34] 当时是18年
[00:28:37] 不对 19年
[00:28:38] 19年的暑假
[00:28:41] 19年的暑假的时候
[00:28:43] 首先
[00:28:44] Yoshua是19年的
[00:28:47] 应该是4月还是5月拿的图灵奖
[00:28:50] 然后我是在那个之前申的
[00:28:53] 所以还好
[00:28:54] 然后后面的话
[00:28:55] 就是Yoshua给我们
[00:28:58] 给我跟带我的postdoc（博士后）的任务是
[00:29:02] 做一个类似于MoE（混合专家模型）的东西
[00:29:06] MoE
[00:29:07] 当时还没有MoE
[00:29:09] 是的
[00:29:10] 首先这个跟RL没有任何关系
[00:29:13] 其次就是纯Language Model（语言模型）
[00:29:15] 就是Transformer
[00:29:16] 然后并且
[00:29:17] 当时没有MoE
[00:29:18] 我们不知道MoE是什么
[00:29:20] 怎么work
[00:29:21] 但是他有一个MoE的idea（点子）
[00:29:23] 就是有一个这个router（路由器）
[00:29:26] 然后可以选择不同的这个path（路径）
[00:29:28] 然后让我去实现
[00:29:31] 所以他招了一个做RL的人去做NLP（自然语言处理）
[00:29:34] 啊是的
[00:29:35] 我觉得很奇怪
[00:29:36] 然后我需要花
[00:29:39] 就是我不擅长学东西
[00:29:41] 然后我花了很长时间去入门这个
[00:29:43] Transformer NLP这个东西
[00:29:45] 然后
[00:29:47] 然后看着这个搓一个东西
[00:29:49] 但是搓一个东西出来
[00:29:50] 也没有什么好的效果
[00:29:51] 然后因为现在回过头来看这个
[00:29:55] 你这个东西要work
[00:29:57] 首先你要有算力
[00:29:58] 你要有很强的这个工程能力
[00:30:01] 然后你要scale up（规模化）
[00:30:03] 当时这个一个人就几块卡
[00:30:06] 这个这搞不出来Scale Up（规模化）的东西
[00:30:08] 所以说你肯定搞不出来
[00:30:10] 哪怕方向是对的
[00:30:11] 那你也是搞不出来的
[00:30:12] 但其实你有没有觉得好像冥冥之中
[00:30:14] 命运就是在把你往OpenAI
[00:30:16] 现在的这条技术路线上推
[00:30:18] 你先搞了RL
[00:30:19] 然后Yoshua让你搞NLP
[00:30:21] 这两个pieces（组成部分）
[00:30:22] 你全部就冥冥之中
[00:30:23] 就你就在OpenAI之前
[00:30:25] 你就全部都有过经历
[00:30:26] 你要真这么说
[00:30:29] 强行这么说也可以
[00:30:30] 哈哈哈
[00:30:32] 就是马后炮是没有用的
[00:30:35] 但当时其实我知道你完全get不到未来
[00:30:38] 所以你当时对NLP（自然语言处理）什么看法
[00:30:40] 在经历了那个暑假之后
[00:30:42] 我觉得NLP task（自然语言处理任务）都是太分散了
[00:30:46] 然后
[00:30:48] 当时其实很多人就在想
[00:30:50] 如何把RL apply（应用）在这个
[00:30:55] language model training（语言模型训练）上面
[00:30:56] 因为当时这个问题是还没有解的
[00:31:00] 因为Transformer
[00:31:01] 直接在强化学习上面跑的话
[00:31:05] 它会崩它很容易崩
[00:31:08] 然后大家都没有
[00:31:09] 想出来这个东西
[00:31:11] 到底该怎么防止它不崩
[00:31:13] 然后后面证明了
[00:31:14] 就是你的环境要
[00:31:16] 是一个这个纯的一个环境
[00:31:19] 然后你的reward（奖励函数）需要一个是
[00:31:23] 是一个很强的reward
[00:31:24] 什么叫纯的环境
[00:31:25] 比如说text only
[00:31:27] 纯文本
[00:31:29] 那之前大家做的不纯的环境
[00:31:31] 是指
[00:31:31] 比如说你用Transformer做一些Atari decision（游戏决策）
[00:31:35] 比如说你把图像弄成一些embedding
[00:31:39] 或者说你把这个
[00:31:41] Atari的这个内部的游戏的
[00:31:45] 这个信息结构化表示
[00:31:47] 然后塞到Transformer里面
[00:31:48] 然后再跑
[00:31:50] 而且Transformer是一个
[00:31:52] 这个随机初始化的Transformer
[00:31:55] 我当时
[00:31:56] 首先我没有足够多context（上下文）
[00:31:59] 我对于这个领域没有足够多的认识
[00:32:02] 所以我做起来就是非常挣扎
[00:32:07] 这个我觉得我
[00:32:11] 我如果现在回过去来直接来帮助我
[00:32:15] 当时的我呢
[00:32:16] 可能还是这个样子
[00:32:17] 你是觉得
[00:32:18] 就是当时就处在一个
[00:32:22] 怎么都不可能把东西搞work的一个
[00:32:23] 是的是的
[00:32:24] 因为算力不够
[00:32:25] 然后这个对于这个当时的一些认知
[00:32:29] MoE的认知也不够
[00:32:31] 然后
[00:32:33] 你哪怕就这么说吧
[00:32:36] 哪怕当时有了现在的认知
[00:32:38] 那还是做不出来
[00:32:41] 因为engineering（工程能力）不够
[00:32:42] 然后
[00:32:43] compute（算力）也不够
[00:32:44] 对
[00:32:45] 受限于当时的这个资源
[00:32:48] 你就是做不出来
[00:32:49] 那当时可能暑研结束了
[00:32:53] 然后就回到清华开始准备申请
[00:32:57] 那当时是什么样的状态
[00:32:59] 就是会压力很大吗
[00:33:01] 就是整个人状态其实不大好
[00:33:05] 因为暑研没搞出来
[00:33:07] 这个周围的同学这个
[00:33:09] 比如说去Stanford
[00:33:11] 去CMU暑研
[00:33:13] 然后都搞出来很多东西
[00:33:14] 然后发paper（论文）
[00:33:15] 都有一作paper（论文）
[00:33:17] 通常来说
[00:33:18] 你需要发个一作paper（论文）的
[00:33:20] 不然的话你会被别人刷下去
[00:33:22] 这个就很卷
[00:33:22] 没有办法
[00:33:23] 所以说
[00:33:25] 我做完暑研
[00:33:26] 然后其实只拿了一个推荐信
[00:33:28] 但是我也不知道推荐信里面写的什么样
[00:33:31] 然后
[00:33:33] 就是挺没有底的
[00:33:36] 申请结果怎么样后来
[00:33:38] 我是对着PhD申请的
[00:33:41] 但是我只拿到了Master（硕士）
[00:33:44] 因为那个时候我大二
[00:33:46] 你申请的时候
[00:33:47] 我应该刚刚大一大二
[00:33:49] 然后每年知乎上都有那种19Fall
[00:33:53] 你的申请结果怎么样20Fall
[00:33:54] 当时我就看到了你的回答
[00:33:56] 然后我印象还挺深刻的
[00:33:59] 当时你就
[00:33:59] 因为我看你履历
[00:34:02] 说图灵奖强推怎么怎么样
[00:34:04] 结果最后我当时看到你申请结果不好
[00:34:07] 就没申到PhD
[00:34:08] 当时我就觉得哇
[00:34:09] 竞争这么激烈
[00:34:11] 你自己作为当事人
[00:34:12] 经历那样的申请季
[00:34:14] 对你来说是一种挫败吗
[00:34:16] 可能还有一点吧
[00:34:18] 但是后面来看也还好
[00:34:22] 就是嗯
[00:34:24] 首先我在当时的那个环境
[00:34:27] 我确实会很大程度上
[00:34:30] 受当时的小环境的影响
[00:34:35] PhD（博士）是要比master（硕士）好的
[00:34:37] 这个应该是整个清华内部的那种氛围
[00:34:41] 那种鄙视链
[00:34:41] 是的这个是
[00:34:44] 如果你身在其中
[00:34:46] 你是很难摆脱这个影响的
[00:34:48] 然后即使是国外的PhD跟master
[00:34:53] 跟国内的PhD跟master都是一样的
[00:34:56] 就是PhD要好于master
[00:34:57] 因为大家会有一种固有的认知
[00:35:00] 说这个学历越高越好
[00:35:03] 对于今后的这个发展会更好
[00:35:05] 但是很多时候这个是不成立的
[00:35:09] 真的取决于你到底干了什么
[00:35:13] 然后当时的话
[00:35:15] 我确实是有一点失望的
[00:35:17] 然后
[00:35:18] 我其实也花了一段时间来调整自己
[00:35:21] 然后后面觉得我
[00:35:24] 我一直以来应该是都是想做一些
[00:35:27] 就是让自己与众不同的事情
[00:35:31] 就是说你当时在
[00:35:32] 可能在尽力的
[00:35:33] 挣脱出固有的那种评价体系
[00:35:36] 是的是的
[00:35:37] 是的
[00:35:38] 就是我一直以来就是觉得
[00:35:42] 就是GPA（绩点）不是唯一的一个评价体系
[00:35:45] 你需要自己在大学里面
[00:35:47] 找到适合自己的评价体系
[00:35:50] 然后为这个评价体系去奋斗
[00:35:55] 去让自己开心
[00:35:57] 你即使在GPA拿了第一
[00:36:00] 那么你可以跟往年比一比
[00:36:03] 跟这个就是其他学院比一比
[00:36:05] 跟其他学校比一比
[00:36:07] 这个反正有的是人
[00:36:11] 就是它（GPA）并不能说你有多么好
[00:36:14] 我觉得应该这么看
[00:36:16] 就是从一个需求方的角度看
[00:36:18] 就比如说
[00:36:19] 如果你的最后目的是找工作
[00:36:24] 那么找工作的人会看重什么
[00:36:27] 他会更看重你的这个相关的经验
[00:36:30] 他不会看那么看重你的GPA
[00:36:33] 因为这个对他来说没有意义
[00:36:35] 如果你是有
[00:36:38] 当前这份工作很匹配的经验
[00:36:40] 那么可以
[00:36:41] 其实可以抵好几年的工作经历
[00:36:44] 哪怕你是一个new grad（毕业生）都没有问题
[00:36:48] 因为招人最主要的目的是招进来能用
[00:36:53] 能干活
[00:36:54] 所以你在本科时候认识到这一点
[00:36:57] 我在后面认识到了这一点
[00:37:00] 就是我在master的时候认识到这一点
[00:37:04] 但你本科其实还是在那个评价体系下面
[00:37:07] 我本科我尝试挣脱这个评价体系
[00:37:10] 但是我挣脱了一点
[00:37:11] 还没有完全挣脱出来
[00:37:13] 那一点是什么
[00:37:14] 就是我意识到了
[00:37:17] 应该要创造自己的评价体系
[00:37:19] 而不是用其他人提供的评价体系
[00:37:23] 我采用了非官方的评价体系
[00:37:26] 就是我的导师（苏航）给我推荐的评价体系
[00:37:30] 就是
[00:37:31] 我一直记得这句话
[00:37:33] 就是计算机系的评价体系
[00:37:35] 就他认为的
[00:37:36] 有三个指标
[00:37:37] 一个是论文
[00:37:40] 一个是比赛
[00:37:41] 还有一个是GitHub的star
[00:37:43] 三位数以上
[00:37:45] 然后
[00:37:45] 我觉得这个是确实是有意义的
[00:37:48] 因为他给我了一个完全不一样的想法
[00:37:52] 就是不一样的领域
[00:37:54] 我其实可以在开源社区搞一些事情
[00:37:58] 然后
[00:37:59] 让我有一些跟别人与众不同的地方
[00:38:03] 嗯
[00:38:04] 这样对于自己的长期的发展是更好的
[00:38:07] 而不是说
[00:38:08] 这个你
[00:38:09] 你就是花很多时间去学GPA啊
[00:38:13] 就是刷GPA这种事情
[00:38:16] 这个我有同感
[00:38:17] 我觉得我在本科的时候
[00:38:19] 我也是很早我就意识到GPA
[00:38:22] 特别是本科的GPA
[00:38:23] 是一个三年之后
[00:38:25] 四年之后你都不用写在简历上的东西
[00:38:28] 但是呢
[00:38:29] 那三年四年里面的本科生
[00:38:32] 又不得不把自己
[00:38:33] 百分之八九十的精力放在这上面
[00:38:36] 因为无论你是找工作
[00:38:38] 还是申请出国
[00:38:39] 还是要保研
[00:38:41] 都是看GPA
[00:38:42] 你是怎么处理这个矛盾的
[00:38:44] 就是一个三年内重要无比的东西
[00:38:47] 和一个三年之后
[00:38:47] 完全不重要的东西
[00:38:49] 我会最低限度的投入
[00:38:52] 投入就是
[00:38:53] 我会花时间
[00:38:57] 最低限度的时间
[00:38:58] 来让它达到我想要的这个要求
[00:39:02] 这个标准
[00:39:03] 再往上一点
[00:39:04] 我都不愿意投入
[00:39:07] 多一分都不想花时间
[00:39:09] 对多一分都不想花时间
[00:39:10] 够用就行
[00:39:11] 就是就你这个
[00:39:13] 这个其实挺简单
[00:39:14] 你就算一下这个
[00:39:15] 就比如说
[00:39:15] 在期末考之前算一下这个
[00:39:17] 你现在已经多少分了
[00:39:19] 然后你就可以安排一下这个
[00:39:21] 这个考试到底要不要复习
[00:39:26] 也就是说你觉得如果现在GPA够了
[00:39:28] 你宁愿那个课考60分
[00:39:29] 你不管啊
[00:39:30] 啊是的
[00:39:31] 这个是我
[00:39:32] 我一直以来都是这样
[00:39:34] 对然后
[00:39:36] 可能60分不太够
[00:39:37] 就是比如说这个
[00:39:38] 87分 87分是B+
[00:39:41] 然后这个我就很满足了
[00:39:43] 嗯对
[00:39:44] 你觉得你挣脱了这种吗
[00:39:46] 因为比如说你出国这种选择
[00:39:48] 是那种评价体系给你带来的
[00:39:50] 是那种氛围给你带来的
[00:39:52] 不是
[00:39:53] 当时的氛围其实已经是
[00:39:54] 就是
[00:39:55] 在国内读书比国外好
[00:39:57] 18/19年
[00:40:00] 19年已经是了
[00:40:02] 嗯对
[00:40:02] 就是差不多清华会有百分之
[00:40:05] 只有20%左右
[00:40:08] 但我们那届更少
[00:40:09] 因为covid（新冠）
[00:40:11] 然后只有百分之五去出国
[00:40:15] 你应该是19年12月申请季对不对
[00:40:17] 所以你应该是还在等offer的时候
[00:40:19] 就covid了
[00:40:20] 然后你应该
[00:40:22] 比如说拿到offer之后
[00:40:23] 美国领事馆就关了
[00:40:24] 对
[00:40:26] 你还是坚持要出国
[00:40:28] 是
[00:40:28] 这个是个很难的选择
[00:40:30] 因为当时应该是有covid
[00:40:31] 有疫情
[00:40:32] 然后
[00:40:34] 国际政治局势又很动荡
[00:40:36] 然后你个人的未来
[00:40:39] 还要和这两个息息相关
[00:40:41] 对
[00:40:43] 那种不确定性下
[00:40:44] 你当时是什么样的状态
[00:40:46] 我觉得
[00:40:47] 我当时可能更专注于手头上的事
[00:40:50] 比如说
[00:40:52] 在家里写天授（Tianshou）
[00:40:54] 在家里写的这个退学online
[00:40:55] 写这个Visa（签证）查询系统
[00:40:58] 这个
[00:40:59] 我就是只是转移注意力
[00:41:02] 不要天天去关注一些宏大的国际叙事
[00:41:05] 而是专注于手头上的事情
[00:41:07] 这样可能让自己内心更平静一些
[00:41:10] 好
[00:41:10] 那我们就聊聊那段时间的两个项目
[00:41:13] 第一个是天授（Tianshou）
[00:41:13] 第二个是退学online（tuixue.online）
[00:41:15] 我们先聊聊天授吧
[00:41:16] 天授刚刚其实你已经讲了
[00:41:18] 天授
[00:41:19] 你说动机
[00:41:20] 是因为你觉得当时（强化学习）环境太overfit（过拟合）了
[00:41:23] 然后RL（强化学习）其实算法的创新没有那么重要
[00:41:26] 反而是这个infra（基础设施）
[00:41:28] 或者说这个好的implementation（实现）
[00:41:30] 给我们讲讲为什么做天授
[00:41:32] 起因是
[00:41:33] 就是首先
[00:41:34] 我在19年12月
[00:41:35] 我就有一个很内心
[00:41:38] 有一个强烈的冲动
[00:41:40] 就说我其实已经写了很多的
[00:41:43] RL（强化学习）的一些实验的代码了
[00:41:45] 我为什么不把它们整合一下
[00:41:47] 然后让自己的实验跑得更好
[00:41:50] 这个是出发点
[00:41:51] 然后我在2月
[00:41:53] 就20年2月份的时候
[00:41:54] 1月放假
[00:41:56] 然后2月就看了一下这个
[00:41:58] RLlib的代码
[00:42:00] 就是在Ray下面的RLlib
[00:42:02] 然后我本来第一步想的是
[00:42:06] 用RLlib来看看能不能改一改
[00:42:08] 然后来去支持我自己的实验
[00:42:11] 然后我看了一个月
[00:42:13] 太复杂了
[00:42:15] 抽象太多了
[00:42:16] 然后这个
[00:42:18] 一个RLlib有快几十万行代码
[00:42:21] 然后就是完全不能接受
[00:42:23] 然后我就根本不知道我要改的东西
[00:42:25] 我该怎么实现
[00:42:27] 然后就决定
[00:42:31] 唉不干了
[00:42:32] 就直接重新手撸
[00:42:34] 推倒重来
[00:42:35] 对推倒重来
[00:42:36] 我特想知道
[00:42:37] 就是你当时做这个事儿
[00:42:39] 其实还有功利的考虑吗
[00:42:40] 因为很多人那段时间就是想做一个
[00:42:43] Bla Bla Policy Optimization的NeurIPS paper
[00:42:46] 没有我不想发paper
[00:42:47] 我觉得发paper完全没有意义
[00:42:49] 给我们讲讲为什么
[00:42:50] 为什么你已经挣脱出这种评价体系了
[00:42:52] 首先我已经有paper了
[00:42:55] 我觉得多一篇少一篇
[00:42:56] 对我而言没有任何意义
[00:42:58] 然后并且我申请已经够用了
[00:43:02] 然后比赛我也有了
[00:43:06] Github三位数可能算有
[00:43:09] 就比如说我自己搞的那个课程Repo（代码库）
[00:43:10] 但是那个不是正儿八经的
[00:43:13] 我还是想有个正儿八经的三位数
[00:43:15] 对
[00:43:16] 好那就是天授
[00:43:18] 当时看了RLlib之后不好用
[00:43:21] 然后你当时对paper没兴趣
[00:43:23] 对
[00:43:23] 但你对开源代码是很有兴趣的
[00:43:25] 你对一个好用的能够推动
[00:43:27] 这个领域前进的一个开源代码
[00:43:30] 非常感兴趣
[00:43:30] 做这个事有多难
[00:43:32] 当时做天授
[00:43:33] 很简单两周
[00:43:36] 只要两周
[00:43:38] 第一版
[00:43:40] 第一版有什么算法
[00:43:41] 好多算法
[00:43:42] 就是你对着那个paper（论文）
[00:43:46] 实现一下就好了
[00:43:49] 就是如果你把抽象搞对的话
[00:43:52] 那么实现算法就是可能就是
[00:43:55] 20行不到
[00:43:56] 20行不到一个算法
[00:43:58] 那为什么你两周就能搞出来一个第一版
[00:44:01] RLlib能写几十万行
[00:44:03] 我觉得
[00:44:04] 可能是因为他最开始设计有一点问题
[00:44:08] 然后因为可能像
[00:44:12] 合作的人多了
[00:44:12] 然后大家都往里面贡献代码
[00:44:14] 然后最后就变成了
[00:44:17] 整个项目会逐渐的腐化
[00:44:20] 所以你是一个人手撸的
[00:44:22] 对
[00:44:23] 所以这种一个人高效的迭代
[00:44:26] 然后做
[00:44:27] 做好一个顶层设计之后就去执行
[00:44:29] 对
[00:44:29] 你觉得反而会迸发出更大的力量
[00:44:32] 是的就是我觉得代码可能
[00:44:35] 或者说一个项目吧
[00:44:36] 这个更多的有用的东西是consistency（一致性）
[00:44:42] 一致性
[00:44:43] 如果这个项目
[00:44:44] 是从头到尾都是一致性的话
[00:44:46] 那他们就是一个
[00:44:48] 他就是个好项目
[00:44:50] 像比如说很多这个项目的腐化
[00:44:55] 都是由于
[00:44:57] 不一致性
[00:44:58] 就比如说两个人
[00:44:59] 或者说10个人
[00:45:01] 10个人的话就是
[00:45:02] 每个人写了一点代码
[00:45:03] 但是每个人其实都不太知道
[00:45:05] 对面到底写了什么东西
[00:45:07] 然后有一些assumption（假设）
[00:45:09] 有些假设就是没有办法去及时的传递
[00:45:12] 然后会导致
[00:45:14] 比如说像这个代码
[00:45:15] 在很多地方去复制黏贴
[00:45:19] 或者说一些不好的行为
[00:45:21] 然后不断导致这个代码越变越膨胀
[00:45:24] 然后去腐化
[00:45:26] 当时天授一炮而红吧
[00:45:29] 可以说挺受欢迎的
[00:45:31] 你觉得天授做对了什么事
[00:45:33] 我觉得它抓住了用户需求
[00:45:37] 就是researcher（研究人员）
[00:45:39] 或者说当时的
[00:45:43] 科研的干活的人
[00:45:46] 其实都有一个需求
[00:45:47] 说这个有没有好用好改的
[00:45:51] RL（强化学习）的框架
[00:45:52] 他能直接用
[00:45:54] 然后因为天授整个代码短
[00:45:57] 然后抽象做的还可以
[00:46:00] 就是你至少如果研究一下
[00:46:02] 然后你会发现
[00:46:04] 你如果改这个地方就一定会对
[00:46:07] 而且只有这一个地方能够改
[00:46:11] 并且就是
[00:46:13] 如果你要支持你的这个feature（功能）的话
[00:46:15] 你只有改这个地方才能支持
[00:46:18] 就是说别人想改什么地方
[00:46:20] 你的设计已经把它设计好了
[00:46:22] 就只能改这
[00:46:23] 嗯是的
[00:46:25] 然后像这个
[00:46:27] 就是易用性做的还可以
[00:46:30] 然后想跑什么算法都有
[00:46:33] 所以当时PyTorch
[00:46:33] 第一版是你一个人写的
[00:46:35] 后面他们会慢慢变成一个更多人的project了吗
[00:46:38] 他就变成一个开源的东西了还是
[00:46:40] 组内在维护
[00:46:41] 变成开源的东西
[00:46:42] 组内其实没什么人来维护
[00:46:45] 对就是直接open source（开源）了
[00:46:48] 那你是怎么避免天授
[00:46:51] 不发生你刚刚所说的
[00:46:53] 很多人在一起之后不consistent（一致）
[00:46:54] 这种腐化的问题的
[00:46:55] 初期的话是因为我有足够的时间
[00:46:59] 所以说我可以一个人把所有东西全部包了
[00:47:03] 然后这个肯定是consistent（一致）
[00:47:04] 虽然说这个现在看来不太好
[00:47:08] 对于长期发展不太好
[00:47:10] 但是对于当时的还是够用的
[00:47:15] 然后后期的话
[00:47:16] 就是因为我的重心
[00:47:18] 因为
[00:47:19] 我入职之后可能就没什么时间了
[00:47:21] 然后我会直接转移给
[00:47:24] 把整个维护权转移给就是社区的人
[00:47:28] 然后如果他们觉得是对的
[00:47:30] 那他们就做
[00:47:31] 就是如果有一个拍板的人
[00:47:35] 那么这个事情应该就是consistent（一致）
[00:47:37] 现在来看
[00:47:38] 5年了天授对成为一个社区的effort
[00:47:41] 你觉得现在腐化了吗
[00:47:43] 有一点确实有一点
[00:47:44] 因为我的
[00:47:47] 我的context（上下文）
[00:47:48] 跟继任
[00:47:50] 继任者的那个context（上下文）
[00:47:51] 还是有点不一样的
[00:47:52] 所以说他会重写我的一部分代码
[00:47:57] 就是我们俩其实没有那么的consistent（一致）
[00:48:00] 所以说还是会有一些腐化的问题
[00:48:03] 但是我觉得就是长远来看
[00:48:05] 这是可以接受的
[00:48:06] 对
[00:48:09] 第二个project（项目）
[00:48:11] 哈哈我也是用户
[00:48:13] 退学（https://tuixue.online/visa）
[00:48:14] 你为啥
[00:48:15] 你不是当时
[00:48:17] 我大二嘛
[00:48:18] 但后来我暑研
[00:48:19] 对我暑研的时候也要预约签证
[00:48:21] 然后当时也是需要找最近的时间
[00:48:24] 然后
[00:48:25] 当时为什么做这么一个事儿
[00:48:28] 我自己有需求啊
[00:48:29] 就是跟这个做天授差不多
[00:48:32] 就是我觉得我的需求
[00:48:34] 我应该我找了一圈
[00:48:36] 我不知道有
[00:48:37] 有什么东西能够满足我的需求
[00:48:39] 所以说我就手撸了一个（签证日期查询系统）
[00:48:41] 就是不然没有办法
[00:48:42] 因为当时你应该
[00:48:43] 处在一个一会儿这个领事馆也关
[00:48:45] 那个领事馆也关
[00:48:46] 对啊对啊对啊
[00:48:47] 你需要实时的知道哪儿有签证的（日期）
[00:48:49] 然后我觉得我有这个需求
[00:48:52] 就像比如说
[00:48:53] 最开始我
[00:48:54] 我有收集这个上古学长的
[00:48:56] 这个作业的需求
[00:48:58] 我觉得很多人应该有这个需求
[00:49:00] 所以说我就开源了
[00:49:01] 然后就我有查签证的需求
[00:49:03] 然后我就这个
[00:49:04] 写了一个这个签证的这个爬虫
[00:49:06] 然后我就开源了
[00:49:07] 然后直接免费给大家使用
[00:49:11] 这个很受欢迎啊
[00:49:12] 我昨天晚上看总点击量100多万
[00:49:15] 当时就100多万
[00:49:17] 那现在肯定一千多万了
[00:49:18] 一千多万了吧
[00:49:19] 但是很早之前就已经关了
[00:49:21] 就是因为covid过了之后
[00:49:23] 然后也没有那么
[00:49:25] 没有那么多需求了
[00:49:27] 所以
[00:49:28] 并且这个美国领事馆升级了这个网站
[00:49:31] 然后当时的那个爬虫用不了
[00:49:33] 然后我也没时间写了
[00:49:35] 对
[00:49:36] 所以他完成了他的使命
[00:49:39] 其实某种程度上
[00:49:41] 这俩（天授和退学）都不是太功利的project（项目）
[00:49:44] 是的
[00:49:45] 第一个你也不是为了申请
[00:49:46] 那是已经发生在你申请之后了
[00:49:48] 你大可以
[00:49:49] 那段时间虽然说Covid不能旅游
[00:49:51] 但是你大可以干点其他的放松的事
[00:49:53] 对啊是啊是啊
[00:49:54] 然后退学也是一样
[00:49:55] 对吧你也可以自己弄完之后
[00:49:57] 所以你还是有一种很内在
[00:50:00] 很强烈的冲动
[00:50:02] 想要去创造一些你觉得有用的
[00:50:04] 自己需要的事
[00:50:05] 然后把这个东西分享给所有人
[00:50:06] 是的就是我想做一些
[00:50:09] 就是
[00:50:11] 能够这个产生影响力的事情
[00:50:16] 就是哪怕是亏钱也行
[00:50:20] 就是
[00:50:21] 比如说做慈善
[00:50:23] 我觉得这个做这个
[00:50:25] 这个天授
[00:50:26] 跟做这个退学online都是做慈善
[00:50:29] 嗯对
[00:50:30] 就是完全non-profit（非盈利）
[00:50:32] 然后做这种慈善项目
[00:50:35] 让我感觉非常满足
[00:50:39] 所以相比钱
[00:50:40] 其实impact（影响力）会让你更满足
[00:50:43] 是的
[00:50:44] 你觉得你对impact（影响力）这种
[00:50:47] 这种追求多久来的
[00:50:49] 高中的时候
[00:50:50] 高中的时候为什么会和impact（影响力）相关
[00:50:53] 可能说来有点奇怪
[00:50:54] 就是我高中的时候
[00:50:56] 突然某一天
[00:50:57] 高三的时候
[00:50:58] 有个idea（想法）就是突然从我脑子蹦出来
[00:51:01] 有可能是
[00:51:02] 就是未来的某个时候
[00:51:05] 这个往过去的我发送一些信息
[00:51:08] 然后我意识到一些东西
[00:51:09] 就比如说
[00:51:10] 如果人生是一场游戏的话
[00:51:12] 那么你的游戏的结算分数是
[00:51:16] 记得你名字的数量的人
[00:51:22] 没了
[00:51:26] 那意味着什么
[00:51:27] 意味着你需要被更多的人认识
[00:51:30] 所以你是高中突然有一天你就意识到
[00:51:34] 这个东西很重要
[00:51:35] 我想要让在我死之后
[00:51:38] 在我死的那个瞬间
